id,orderNumber,barcode,clientId,productPrice,shippingFee,tax,adjustmentAmount,totalAmount,finalAmount,paymentMethod,paymentStatus,status,currentProcess,isUrgent,requestedDeliveryDate,customerMemo,productMemo,adminMemo,orderedAt,createdAt,updatedAt,isDuplicateOverride,createdByUserId,printQueueEnteredAt,printQueueExitReason,printQueueExitedAt,printQueueStatus
cmn8t0k4m000pcc2hikxdrc2q,260327-001,MN8T0K4HN8C7,cmmagsozx0002tjo9f0wsln3v,132250.00,0.00,0.00,0.00,132250.00,132250.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-03-27 11:14:28.198,2026-03-27 11:14:28.198,2026-03-27 11:14:28.198,f,,,,,
cmlg6m6g3000pws51na8ajy3z,260210-005,MLG6M6G2JX4D,cml5w4ssp0001v7vnm48qzlwz,19000.00,5500.00,1900.00,0.00,26400.00,26400.00,postpaid,pending,receipt_completed,reception_complete,f,,,,,2026-02-10 05:50:10.467,2026-02-10 05:50:10.467,2026-02-25 04:07:43.813,f,,,,,
cmlg6m6fj000jws51y9f288of,260210-004,MLG6M6FIYIXY,cml5w4ssp0001v7vnm48qzlwz,80000.00,5500.00,8000.00,0.00,93500.00,93500.00,postpaid,pending,receipt_completed,reception_complete,f,,,,,2026-02-10 05:50:10.448,2026-02-10 05:50:10.448,2026-02-25 04:07:43.815,f,,,,,
cmlg6m6ef0007ws51vh4ne6qw,260210-002,MLG6M6EEM081,cml5w4ssp0001v7vnm48qzlwz,38000.00,5500.00,3800.00,0.00,47300.00,47300.00,postpaid,pending,receipt_completed,reception_complete,f,,,,,2026-02-10 05:50:10.408,2026-02-10 05:50:10.408,2026-02-25 04:07:43.816,f,,,,,
cmlg6m6f0000dws511mr6yc6k,260210-003,MLG6M6F019S3,cml5w4ssp0001v7vnm48qzlwz,42500.00,5500.00,4250.00,0.00,52250.00,52250.00,postpaid,pending,receipt_completed,reception_complete,f,,,,,2026-02-10 05:50:10.429,2026-02-10 05:50:10.429,2026-02-25 04:07:43.817,f,,,,,
cmlg90nty000112pqw0m5p6nd,260210-006,MLG90NTX9HXP,cmkg8vzuf0000at5m0dyaydie,10000.00,3000.00,1000.00,0.00,14000.00,14000.00,postpaid,pending,cancelled,order_cancelled,f,,,,,2026-02-10 06:57:25.414,2026-02-10 06:57:25.414,2026-02-25 04:07:43.818,f,,,,,
cmleilfct000114aqlh7tlmos,260209-011,MLEILFCSCVVZ,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:49:58.398,2026-02-09 01:49:58.398,2026-02-24 08:06:42.895,f,,,,,
cmlei22ij0001coa4y1m3bt9q,260209-001,MLEI22IINZ0M,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:34:55.292,2026-02-09 01:34:55.292,2026-02-24 08:06:42.887,f,,,,,
cmlei22jj0006coa43sx3jc95,260209-002,MLEI22JI47ZM,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:34:55.327,2026-02-09 01:34:55.327,2026-02-24 08:06:42.889,f,,,,,
cmlei22k5000bcoa4k7d90mo3,260209-003,MLEI22K4N1SV,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:34:55.349,2026-02-09 01:34:55.349,2026-02-24 08:06:42.889,f,,,,,
cmlei22kr000gcoa4254l6z0p,260209-004,MLEI22KQ2OFP,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:34:55.371,2026-02-09 01:34:55.371,2026-02-24 08:06:42.89,f,,,,,
cmlei22lc000lcoa4z05337h8,260209-005,MLEI22LBJJOO,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:34:55.392,2026-02-09 01:34:55.392,2026-02-24 08:06:42.891,f,,,,,
cmlei22lw000qcoa4j6jrruqu,260209-006,MLEI22LWU2S6,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:34:55.413,2026-02-09 01:34:55.413,2026-02-24 08:06:42.892,f,,,,,
cmlei22mh000vcoa41oadyxjz,260209-007,MLEI22MH4N0J,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:34:55.434,2026-02-09 01:34:55.434,2026-02-24 08:06:42.892,f,,,,,
cmlei22n10010coa45clnhoav,260209-008,MLEI22N0B4XX,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:34:55.453,2026-02-09 01:34:55.453,2026-02-24 08:06:42.893,f,,,,,
cmlei22nk0015coa4wc3moq49,260209-009,MLEI22NJILPK,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:34:55.472,2026-02-09 01:34:55.472,2026-02-24 08:06:42.894,f,,,,,
cmlei22o2001acoa4g2vzozpy,260209-010,MLEI22O2S9MN,cml5w4ssp0001v7vnm48qzlwz,0.00,0.00,0.00,0.00,0.00,0.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:34:55.491,2026-02-09 01:34:55.491,2026-02-24 08:06:42.894,f,,,,,
cmleilfdq000614aqa4qgmd3d,260209-012,MLEILFDO647Q,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:49:58.43,2026-02-09 01:49:58.43,2026-02-24 08:06:42.895,f,,,,,
cmleilfeb000b14aq806r14n7,260209-013,MLEILFEAKZAC,cml5w4ssp0001v7vnm48qzlwz,9000.00,5500.00,900.00,0.00,15400.00,15400.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:49:58.451,2026-02-09 01:49:58.451,2026-02-24 08:06:42.896,f,,,,,
cmleilfew000h14aq2ncga188,260209-014,MLEILFEVJ3MA,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:49:58.472,2026-02-09 01:49:58.472,2026-02-24 08:06:42.897,f,,,,,
cmleilffg000m14aq35jarivo,260209-015,MLEILFFFKU2E,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:49:58.492,2026-02-09 01:49:58.492,2026-02-24 08:06:42.897,f,,,,,
cmleilfg1000r14aqk2mbknc4,260209-016,MLEILFFZ1VB6,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:49:58.513,2026-02-09 01:49:58.513,2026-02-24 08:06:42.898,f,,,,,
cmleilfgl000w14aqnhramooj,260209-017,MLEILFGKH5Y2,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:49:58.533,2026-02-09 01:49:58.533,2026-02-24 08:06:42.899,f,,,,,
cmleilfh4001114aq48y9pke5,260209-018,MLEILFH341JG,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:49:58.553,2026-02-09 01:49:58.553,2026-02-24 08:06:42.899,f,,,,,
cmleilfho001614aq9cow7r3p,260209-019,MLEILFHNQC14,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:49:58.572,2026-02-09 01:49:58.572,2026-02-24 08:06:42.9,f,,,,,
cmleilfi7001b14aqcviu7r36,260209-020,MLEILFI6WMON,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:49:58.592,2026-02-09 01:49:58.592,2026-02-24 08:06:42.901,f,,,,,
cmleilfir001g14aq1rtiv5q5,260209-021,MLEILFIQ9UD4,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:49:58.612,2026-02-09 01:49:58.612,2026-02-24 08:06:42.901,f,,,,,
cmlen7orm0001sr3qmcd841rx,260209-022,MLEN7ORJRFVV,cml5w4ssp0001v7vnm48qzlwz,20400.00,0.00,2040.00,0.00,22440.00,22440.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 03:59:15.489,2026-02-09 03:59:15.489,2026-02-24 08:06:42.902,f,,,,,
cmlen7osl0006sr3qvnwoibxr,260209-023,MLEN7OSK8PG6,cml5w4ssp0001v7vnm48qzlwz,40800.00,0.00,4080.00,0.00,44880.00,44880.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 03:59:15.525,2026-02-09 03:59:15.525,2026-02-24 08:06:42.902,f,,,,,
cmleoaly9000614anqk53cmjj,260209-025,MLEOALY8NSZ7,cml5w4ssp0001v7vnm48qzlwz,80000.00,0.00,8000.00,0.00,88000.00,88000.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 04:29:31.425,2026-02-09 04:29:31.425,2026-02-24 08:06:42.904,f,,,,,
cmlepd5ke0001xbco6kiqxock,260209-026,MLEPD5KCODB1,cml5w4ssp0001v7vnm48qzlwz,20400.00,0.00,2040.00,0.00,22440.00,22440.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 04:59:29.774,2026-02-09 04:59:29.774,2026-02-24 08:06:42.905,f,,,,,
cmlepd5l50006xbcof2y49g24,260209-027,MLEPD5L40Y9T,cml5w4ssp0001v7vnm48qzlwz,40800.00,0.00,4080.00,0.00,44880.00,44880.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 04:59:29.802,2026-02-09 04:59:29.802,2026-02-24 08:06:42.905,f,,,,,
cmlg6m6d00001ws516ejb766e,260210-001,MLG6M6CZPT1N,cml5w4ssp0001v7vnm48qzlwz,19000.00,5500.00,1900.00,0.00,26400.00,26400.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-10 05:50:10.356,2026-02-10 05:50:10.356,2026-02-24 08:06:42.906,f,,,,,
cmlgangpx0001m4uirrrzloi5,260210-007,MLGANGPWDIJ4,cml5w4ssp0001v7vnm48qzlwz,21800.00,5500.00,2180.00,0.00,29480.00,29480.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-10 07:43:08.902,2026-02-10 07:43:08.902,2026-02-24 08:06:42.91,f,,,,,
cmlgangrc000jm4uiisnf9uxu,260210-009,MLGANGRBREMZ,cml5w4ssp0001v7vnm48qzlwz,38000.00,5500.00,3800.00,0.00,47300.00,47300.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-10 07:43:08.952,2026-02-10 07:43:08.952,2026-02-24 08:06:42.91,f,,,,,
cmm1g582h001jci5io0fv2x3p,260225-002,MM1G582EASE2,cmlc48lcw00017cvnisoyrvqk,49000.00,5500.00,4900.00,0.00,59400.00,59400.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-25 03:00:05.274,2026-02-25 03:00:05.274,2026-02-25 03:00:05.274,f,,,,,
cmm0brq2f00027egst0gxt8mg,260224-009,MM0BRQ2B3CDO,cml5w4ssp0001v7vnm48qzlwz,34000.00,5500.00,3400.00,0.00,42900.00,42900.00,postpaid,pending,ready_for_shipping,shipping_waiting,f,,,,,2026-02-24 08:09:50.776,2026-02-24 08:09:50.776,2026-02-25 04:07:43.821,f,,,,,
cmlunfo4i0014lhkvplv4ey8l,260220-008,MLUNFO4FAGHF,cmlc48lcw00017cvnisoyrvqk,44500.00,5500.00,4450.00,0.00,54450.00,54450.00,postpaid,pending,cancelled,order_cancelled,f,,,,,2026-02-20 08:49:46.722,2026-02-20 08:49:46.722,2026-02-25 04:07:43.822,f,,,,,
cmluncomc0002lhkvqka525st,260220-007,MLUNCOMAYFM7,cmlc48lcw00017cvnisoyrvqk,44500.00,5500.00,4450.00,0.00,54450.00,54450.00,postpaid,pending,cancelled,order_cancelled,f,,,,,2026-02-20 08:47:27.396,2026-02-20 08:47:27.396,2026-02-25 04:07:43.823,f,,,,,
cmlun27yb00021tt9sjcumln9,260220-006,MLUN27Y9LUTH,cmlc48lcw00017cvnisoyrvqk,44500.00,5500.00,4450.00,38500.00,54450.00,15950.00,postpaid,pending,receipt_completed,reception_complete,f,,,,,2026-02-20 08:39:19.235,2026-02-20 08:39:19.235,2026-02-25 04:07:43.823,f,,,,,
cmlume7p8000plsaq3n3uhupe,260220-005,MLUME7P67L02,cmlc48lcw00017cvnisoyrvqk,29400.00,5500.00,2940.00,38500.00,37840.00,0.00,postpaid,pending,receipt_completed,reception_complete,f,,,,,2026-02-20 08:20:39.165,2026-02-20 08:20:39.165,2026-02-25 04:07:43.824,t,,,,,
cmlume7nz0002lsaq096lqbik,260220-004,MLUME7NVWVDT,cmlc48lcw00017cvnisoyrvqk,31000.00,5500.00,3100.00,38500.00,39600.00,1100.00,postpaid,pending,receipt_completed,reception_complete,f,,,,,2026-02-20 08:20:39.119,2026-02-20 08:20:39.119,2026-02-25 04:07:43.825,t,,,,,
cmlulmxip001sn0enphh5nnln,260220-003,MLULMXIN4ZHK,cmlc48lcw00017cvnisoyrvqk,64400.00,5500.00,6440.00,38500.00,76340.00,37840.00,postpaid,pending,receipt_completed,reception_complete,f,,,,,2026-02-20 07:59:26.257,2026-02-20 07:59:26.257,2026-02-25 04:07:43.826,f,,,,,
cmlulmxgu0013n0envcpsr1xn,260220-002,MLULMXGR37RJ,cmlc48lcw00017cvnisoyrvqk,34000.00,5500.00,3400.00,38500.00,42900.00,4400.00,postpaid,pending,receipt_completed,reception_complete,f,,,,,2026-02-20 07:59:26.19,2026-02-20 07:59:26.19,2026-02-25 04:07:43.826,f,,,,,
cmlulmxel000gn0enx5y2sxq0,260220-001,MLULMXEISFYA,cmlc48lcw00017cvnisoyrvqk,31000.00,5500.00,3100.00,38500.00,39600.00,1100.00,postpaid,pending,receipt_completed,reception_complete,f,,,,,2026-02-20 07:59:26.109,2026-02-20 07:59:26.109,2026-02-25 04:07:43.827,f,,,,,
cmlgangqs000am4uis9ruguwb,260210-008,MLGANGQRCPCW,cml5w4ssp0001v7vnm48qzlwz,21800.00,5500.00,2180.00,0.00,29480.00,29480.00,postpaid,pending,cancelled,order_cancelled,f,,,,,2026-02-10 07:43:08.932,2026-02-10 07:43:08.932,2026-02-25 04:07:43.828,f,,,,,
cmliv3yod002rncs9xy4bylg4,260212-006,MLIV3YO5GG9R,cmkg8vzuf0000at5m0dyaydie,26000.00,5500.00,2600.00,0.00,34100.00,34100.00,postpaid,pending,receipt_completed,reception_complete,f,,,,,2026-02-12 02:51:23.341,2026-02-12 02:51:23.341,2026-02-25 04:07:43.828,f,,,,,
cmlix17ol0001rzu14zdkqijq,260212-007,MLIX17OB8Z9D,cmkg8vzuf0000at5m0dyaydie,26800.00,5500.00,2680.00,0.00,34980.00,34980.00,postpaid,pending,in_production,print_waiting,f,,,,,2026-02-12 03:45:14.276,2026-02-12 03:45:14.276,2026-02-25 04:07:55.513,f,,,,,
cmlj0eatm0003kqejqust11ek,260212-008,MLJ0EATAQWKW,cmkg8vzuf0000at5m0dyaydie,30500.00,5500.00,3050.00,0.00,39050.00,39050.00,postpaid,pending,in_production,print_waiting,f,,,,,2026-02-12 05:19:23.721,2026-02-12 05:19:23.721,2026-02-25 04:07:55.513,f,,,,,
cmm0bw4wc001c7egs1isk4b3z,260224-011,MM0BW4W8Q9OQ,cml5w4ssp0001v7vnm48qzlwz,49000.00,5500.00,4900.00,0.00,59400.00,59400.00,postpaid,pending,ready_for_shipping,shipping_waiting,f,,,,,2026-02-24 08:13:16.62,2026-02-24 08:13:16.62,2026-02-25 04:07:43.819,f,,,,,
cmm0bw4lt000x7egs08bqwot4,260224-010,MM0BW4LOBV0V,cml5w4ssp0001v7vnm48qzlwz,14500.00,5500.00,1450.00,5500.00,21450.00,21450.00,postpaid,pending,ready_for_shipping,shipping_waiting,f,,,,,2026-02-24 08:13:16.241,2026-02-24 08:13:16.241,2026-02-25 04:07:43.82,f,,,,,
cmm1jp3ty000xtaekyxst15kq,260225-005,MM1JP3TWYZ9I,cmlc48lcw00017cvnisoyrvqk,11000.00,0.00,1100.00,0.00,12100.00,12100.00,postpaid,pending,ready_for_shipping,receipt_pending,f,,,,,2026-02-25 04:39:31.751,2026-02-25 04:39:31.751,2026-02-25 04:41:46.453,t,,,,,
cmm36kwiq0002v1mkzzkbubcz,260226-004,MM36KWIMPB1S,cmlc48lcw00017cvnisoyrvqk,27500.00,5500.00,2750.00,0.00,35750.00,35750.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-26 08:07:52.994,2026-02-26 08:07:52.994,2026-02-26 08:07:52.994,t,,,,,
cmm3860hf000s83kyigjkyoaw,260226-006,MM3860HCVAIH,cmlc48lcw00017cvnisoyrvqk,13750.00,0.00,1375.00,0.00,15125.00,15125.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-26 08:52:17.523,2026-02-26 08:52:17.523,2026-02-26 08:52:17.523,f,,,,,
cmm3860s7001d83kysgk146dz,260226-007,MM3860S6XX5S,cmlc48lcw00017cvnisoyrvqk,26600.00,0.00,2660.00,0.00,29260.00,29260.00,postpaid,pending,ready_for_shipping,receipt_pending,f,,,,,2026-02-26 08:52:17.912,2026-02-26 08:52:17.912,2026-02-26 08:55:45.292,f,,,,,
cmm2rj9zw0012o9yx0bxg7cd8,260226-002,MM2RJ9ZSXP78,cmlc48lcw00017cvnisoyrvqk,43750.00,0.00,4375.00,5500.00,48125.00,42625.00,card,pending,shipped,delivered,f,,,,,2026-02-26 01:06:42.908,2026-02-26 01:06:42.908,2026-02-27 03:00:01.263,f,,,,,
cmmzty8em000972mkiedf1y7f,260321-002,MMZTY8EHJUT5,cmkg8vzuf0000at5m0dyaydie,120600.00,0.00,0.00,0.00,120600.00,120600.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-03-21 04:30:43.726,2026-03-21 04:30:43.726,2026-03-21 04:30:43.726,f,,,,,
cmlgangs6000sm4ui7713no16,260210-010,MLGANGS5XV1V,cml5w4ssp0001v7vnm48qzlwz,20400.00,5500.00,2040.00,0.00,27940.00,27940.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-10 07:43:08.982,2026-02-10 07:43:08.982,2026-02-24 08:06:42.911,f,,,,,
cmlhmuxld000266cxcumoi7da,260211-001,MLHMUXLCDVC4,cmlc48lcw00017cvnisoyrvqk,18400.00,5500.00,1840.00,0.00,25740.00,25740.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-11 06:12:38.93,2026-02-11 06:12:38.93,2026-02-24 08:06:42.911,f,,,,,
cmlhmuxm7000866cx399x0agh,260211-002,MLHMUXM6KANZ,cmlc48lcw00017cvnisoyrvqk,19800.00,5500.00,1980.00,0.00,27280.00,27280.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-11 06:12:38.959,2026-02-11 06:12:38.959,2026-02-24 08:06:42.912,f,,,,,
cmlhmuxms000e66cx3n1svxox,260211-003,MLHMUXMRY2CD,cmlc48lcw00017cvnisoyrvqk,17000.00,5500.00,1700.00,0.00,24200.00,24200.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-11 06:12:38.98,2026-02-11 06:12:38.98,2026-02-24 08:06:42.913,f,,,,,
cmlhmuxnc000k66cx75945m0b,260211-004,MLHMUXNB4K24,cmlc48lcw00017cvnisoyrvqk,51500.00,5500.00,5150.00,0.00,62150.00,62150.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-11 06:12:39,2026-02-11 06:12:39,2026-02-24 08:06:42.913,f,,,,,
cmlhmuxnx000t66cx94ogl2pk,260211-005,MLHMUXNWUQ8V,cmlc48lcw00017cvnisoyrvqk,15000.00,5500.00,1500.00,0.00,22000.00,22000.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-11 06:12:39.021,2026-02-11 06:12:39.021,2026-02-24 08:06:42.914,f,,,,,
cmlhmuxoj001566cx8eyurt5r,260211-006,MLHMUXOIN4AX,cmlc48lcw00017cvnisoyrvqk,15400.00,5500.00,1540.00,0.00,22440.00,22440.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-11 06:12:39.043,2026-02-11 06:12:39.043,2026-02-24 08:06:42.915,f,,,,,
cmliskdm90001nmb03y3p68m3,260212-001,MLISKDM7MBBQ,cmlc48lcw00017cvnisoyrvqk,22600.00,5500.00,2260.00,0.00,30360.00,30360.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-12 01:40:10.353,2026-02-12 01:40:10.353,2026-02-24 08:06:42.915,f,,,,,
cmliskdnm000anmb0318edlrr,260212-002,MLISKDNLHWGY,cmlc48lcw00017cvnisoyrvqk,21200.00,5500.00,2120.00,0.00,28820.00,28820.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-12 01:40:10.402,2026-02-12 01:40:10.402,2026-02-24 08:06:42.916,f,,,,,
cmliu5jst0001ncs98t8mffih,260212-003,MLIU5JS6JTLU,cmlc48lcw00017cvnisoyrvqk,54000.00,5500.00,5400.00,0.00,64900.00,64900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-12 02:24:37.754,2026-02-12 02:24:37.754,2026-02-24 08:06:42.917,f,,,,,
cmliu5jy8001ancs9qtts0akd,260212-004,MLIU5JXOELGS,cmlc48lcw00017cvnisoyrvqk,34400.00,5500.00,3440.00,0.00,43340.00,43340.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-12 02:24:37.95,2026-02-12 02:24:37.95,2026-02-24 08:06:42.918,f,,,,,
cmliu5k1c0025ncs9l67cx4uf,260212-005,MLIU5K15DKEE,cmlc48lcw00017cvnisoyrvqk,19000.00,5500.00,1900.00,0.00,26400.00,26400.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-12 02:24:38.063,2026-02-12 02:24:38.063,2026-02-24 08:06:42.918,f,,,,,
cmluqbz490002n04hkttw8vcl,260220-011,MLUQBZ474SUZ,cmlc48lcw00017cvnisoyrvqk,44500.00,5500.00,4450.00,0.00,54450.00,54450.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-20 10:10:53.193,2026-02-20 10:10:53.193,2026-02-20 10:10:53.193,t,,,,,
cmlur5t6s003tn04hud3tt493,260220-015,MLUR5T6REXZ4,cmlc48lcw00017cvnisoyrvqk,23200.00,5500.00,2320.00,0.00,31020.00,31020.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-20 10:34:05.189,2026-02-20 10:34:05.189,2026-02-20 10:34:05.189,t,,,,,
