id,jobId,orderItemId,orderNumber,studioName,status,pdfPath,fileName,side,colorMode,error,sortOrder,updatedAt
cmo87pxi8000bbjwo1r1vj7k4,0c44d284-f75e-4f30-b234-55bde5340ff1,cmo87op1n004meql72pdxjuly,260421-007,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\4도 풀컬러 단면\단면\260421-007_인천달빛스쿠터_4도 풀컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-007_인천달빛스쿠터_4도 풀컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,4도 풀컬러 단면,,0,2026-04-21 05:58:04.569
cmo8bqays0001suw22t39t1ih,ea13f838-d99c-414e-b850-af2274d44812,cmo87op1n004meql72pdxjuly,260421-007,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\4도 풀컬러 단면\단면\260421-007_인천달빛스쿠터_4도 풀컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-007_인천달빛스쿠터_4도 풀컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,4도 풀컬러 단면,,0,2026-04-21 07:50:20.051
cmo8ctwd40006sa3ejhdaxdhx,bd7ccbbf-d781-47c6-9a71-954f0157aabf,cmo87op1n004meql72pdxjuly,260421-007,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\4도 풀컬러 단면\단면\260421-007_인천달빛스쿠터_4도 풀컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-007_인천달빛스쿠터_4도 풀컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,4도 풀컬러 단면,,0,2026-04-21 08:21:07.134
cmo8d0tpn0036sa3e7x10o4l9,1fc7fc8b-19a4-4ca3-8b07-5183026ab480,cmo8cyv6f0025sa3ehnud647s,260421-010,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 양면\양면\260421-010_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,260421-010_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,양면,6도 컬러 양면,,0,2026-04-21 08:26:40.144
cmo8d0tpn0037sa3exj63sgeh,1fc7fc8b-19a4-4ca3-8b07-5183026ab480,cmo8cyuf20016sa3edz7kdfi6,260421-009,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 양면\양면\260421-009_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,260421-009_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,양면,6도 컬러 양면,,1,2026-04-21 08:26:51.327
cmo8d0tpn0038sa3eig6q6acu,1fc7fc8b-19a4-4ca3-8b07-5183026ab480,cmo8cytz3000gsa3eq0swhga8,260421-008,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 양면\양면\260421-008_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,260421-008_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,양면,6도 컬러 양면,,2,2026-04-21 08:26:56.944
cmo8gd8df003z129hkg5o0v8a,46766c62-70f2-4f96-8f3c-358f252e87de,cmo8gccjs001j129hj90dpzbg,260421-012,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-012_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-012_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,1,2026-04-21 10:00:13.168
cmo8duxwv0001b63umex9dgvc,44ecb5b9-5c38-4a9d-807c-8ae9c60587ab,cmo8cyv6f0025sa3ehnud647s,260421-010,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 양면\양면\260421-010_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,260421-010_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,양면,6도 컬러 양면,,0,2026-04-21 08:50:04.327
cmo8hauer0001uoor5r2fv4qn,afe5876f-2739-4fc4-a92c-d3c5c2f4fb9d,cmo8gccjs001j129hj90dpzbg,260421-012,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-012_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-012_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,1,2026-04-21 10:26:22.652
cmo8f1k4a000gb63ubrsotvbb,cca57fa8-7b3b-4db4-b89d-5400d3c7bdb6,cmo8cyv6f0025sa3ehnud647s,260421-010,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 양면\양면\260421-010_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,260421-010_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,양면,6도 컬러 양면,,0,2026-04-21 09:23:11.321
cmo8gd8df0040129hxtlpsb53,46766c62-70f2-4f96-8f3c-358f252e87de,cmo8gcbne000d129hl678cxpk,260421-011,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-011_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-011_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,2,2026-04-21 10:00:14.725
cmo8fqz3o00036fljo365sd63,fee1fff4-586f-448e-9bc6-0080646ee93c,cmo8cyv6f0025sa3ehnud647s,260421-010,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 양면\양면\260421-010_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,260421-010_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,양면,6도 컬러 양면,,0,2026-04-21 09:43:01.588
cmo8g3p2u0000129h8mfo5ace,b60b6fa0-b7de-4535-b158-fe20a7fcda60,cmo8cytz3000gsa3eq0swhga8,260421-008,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 양면\양면\260421-008_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,260421-008_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,양면,6도 컬러 양면,,0,2026-04-21 09:52:48.14
cmo8g4tw70001129hausv6byu,9ac07259-89bc-49bb-b68c-035cb2088512,cmo6te0hp001qxm9ijs7uzja5,260420-008,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\4도\양면\260420-008_인천달빛스쿠터_양면_4up.pdf,260420-008_인천달빛스쿠터_양면_4up.pdf,양면,,,0,2026-04-21 09:53:58.157
cmo8gd8de003y129h0t9yj7nj,46766c62-70f2-4f96-8f3c-358f252e87de,cmo8gcdgo002n129hnw5puxjn,260421-013,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,0,2026-04-21 10:00:09.996
cmo8hauer0000uoorrw3hu9zn,afe5876f-2739-4fc4-a92c-d3c5c2f4fb9d,cmo8gcdgo002n129hnw5puxjn,260421-013,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,0,2026-04-21 10:26:19.4
cmo8hauer0002uoorxemn1ryu,afe5876f-2739-4fc4-a92c-d3c5c2f4fb9d,cmo8gcbne000d129hl678cxpk,260421-011,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-011_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-011_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,2,2026-04-21 10:26:25.705
cmo8i7qxv00009u71ishjhltf,82628d68-b1c1-4c42-b76c-68549307596d,cmo8gcdgo002n129hnw5puxjn,260421-013,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,0,2026-04-21 10:51:54.811
cmo8i7qxv00019u71aifcdzhv,82628d68-b1c1-4c42-b76c-68549307596d,cmo8gccjs001j129hj90dpzbg,260421-012,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-012_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-012_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,1,2026-04-21 10:51:58.018
cmo8i7qxv00029u7173t17bbk,82628d68-b1c1-4c42-b76c-68549307596d,cmo8gcbne000d129hl678cxpk,260421-011,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-011_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-011_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,2,2026-04-21 10:52:00.96
cmo8ia96m00039u71a1ffzhzb,62e5a9ac-f8bc-4944-9ce4-a0700358d768,cmo6te0hp001qxm9ijs7uzja5,260420-008,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\4도\양면\260420-008_인천달빛스쿠터_양면_4up.pdf,260420-008_인천달빛스쿠터_양면_4up.pdf,양면,,,0,2026-04-21 10:54:12.42
cmo8icq6500059u71s3t7l9b1,7aedbe15-278c-44fb-8429-b07292b8e317,cmo8gcdgo002n129hnw5puxjn,260421-013,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,0,2026-04-21 10:55:45.126
cmo8kkvm00006cmqcwh3jokmm,bf6a51a5-574f-4f40-b0b6-7f5d37cb8155,cmo8gcdgo002n129hnw5puxjn,260421-013,인천달빛스쿠터,completed,X:\printing114\uploads\orders\2026\04\21\인천달빛스쿠터\260421-013\print-pdf\260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,0,2026-04-21 11:58:04.634
cmo8idcai00069u719txt4i7g,39abaa8c-9a49-4d3d-a3e8-84607af429ba,cmo8gcdgo002n129hnw5puxjn,260421-013,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,0,2026-04-21 10:56:14.036
cmo8idcai00079u71pf70oj4t,39abaa8c-9a49-4d3d-a3e8-84607af429ba,cmo6te0hp001qxm9ijs7uzja5,260420-008,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\4도\양면\260420-008_인천달빛스쿠터_양면_4up.pdf,260420-008_인천달빛스쿠터_양면_4up.pdf,양면,,,1,2026-04-21 10:56:33.071
cmo8ius430001btxrc0dpsy87,3134eae7-4c99-406e-b396-a526f10b4b5d,cmo8gcdgo002n129hnw5puxjn,260421-013,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_4up.pdf,260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_4up.pdf,단면,6도 컬러 단면,,0,2026-04-21 11:09:49.196
cmo8kt3ae000acmqcr93qs9h9,aa27486a-e77f-4c49-9c74-87b4db35a1f7,cmo8gcdgo002n129hnw5puxjn,260421-013,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,0,2026-04-21 12:04:27.91
cmo8ixa1q0002btxrbsemwcz2,6f9d3fdb-58ea-41c0-bacd-db0f2fa8d469,cmo8gcdgo002n129hnw5puxjn,260421-013,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_4up.pdf,260421-013_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_4up.pdf,단면,6도 컬러 단면,,0,2026-04-21 11:11:44.074
cmo8ixa1q0003btxrbr6l3get,6f9d3fdb-58ea-41c0-bacd-db0f2fa8d469,cmo8gccjs001j129hj90dpzbg,260421-012,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-012_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_4up.pdf,260421-012_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_4up.pdf,단면,6도 컬러 단면,,1,2026-04-21 11:11:47.286
cmo8ixa1q0004btxrjslcugay,6f9d3fdb-58ea-41c0-bacd-db0f2fa8d469,cmo8gcbne000d129hl678cxpk,260421-011,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-011_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_4up.pdf,260421-011_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_4up.pdf,단면,6도 컬러 단면,,2,2026-04-21 11:11:50.25
cmo9b31y400135pcuqkzrtwte,458afdf1-7dda-460b-8a73-72de9f2c40f7,cmo9azvda000e5pcu4qwtlvx7,260422-001,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260422\인디고\6도 컬러 양면\양면\260422-001_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,260422-001_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,양면,6도 컬러 양면,,0,2026-04-22 00:20:04.677
